
ohupuss
2005, 22.01, 386
2005, 02.02, 387
2005, 28.02, 389
2005, 03.04, 389
2005, 18.05, 385
2005, 29.10, 390
2005, 28.10, 380 
2005, 26.11, 389
2005, 10.12, 382
2005, 11.12, 382

2006, 12.01, 388
2006, 14.01, 394  << record
2006, 20.01, 390
2006, 04.02, 388
2006, 18.02, 384
2006, 25.03, 388
2006, 28.10, 380
2005, 26.11, 389
2006, 09.12, 388
2006, 09.12, 388

2007, 17.03, 388


60 lamades
2005, 02.04, 580
2005, 23.04, 585
2005, 08.05, 586
2005, 18.05, 582
2005, 29.06, 584
2005, 26.08, 577
2005, 11.09, 578

2006, 25.03, 583
2006, 29.04, 588
2006, 14.05, 586
2006, 01.06, 577
2006, 11.06, 578
2006, 23.06, 578
2006, 08.07, 578
2006, 27.07, 570
3006, 13.08, 571
2006, 22.08, 570
2006, 25.08, 589
2006, 03.09, 574
2006, 16.12, 589

2007, 10.07, 579


3x20
2005, 08.07, 560
2006, 25.08, 589
2005, 26.08, 562
2005, 10.09, 564

2006, 30.04, 563
2006, 13.05, 555
2006, 02.06, 561
2006, 03.06, 571
2006, 14.06, 548
2006, 24.06, 552
2006, 09.07, 570
2006, 26.07, 561
2006, 21.08, 561
2006, 25.08, 561
2006, 02.09, 571
2006, 23.09, 562

2007, 09.07, 577
